date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:10	51/51	---M--	200	added ('OK')	text/plain	etag:%225ETteA%22	http://nehe.gamedev.net/robots.txt		(from )
21:33:11	34372/34372	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:10%20GMT	http://nehe.gamedev.net/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/index.html	(from )
21:33:11	2200/2200	---MC-	200	added ('OK')	text/css	etag:%225ETteA%22	http://nehe.gamedev.net/static/css/public_base.css	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/static/css/public_base.css	(from http://nehe.gamedev.net/)
21:33:12	2853/2853	---MC-	200	added ('OK')	text/css	etag:%225ETteA%22	http://nehe.gamedev.net/static/css/syntax_highlighter/shThemeMidnight.css	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/static/css/syntax_highlighter/shThemeMidnight.css	(from http://nehe.gamedev.net/)
21:33:12	3182/3182	---M-Z	200	added ('OK')	application/x-javascript	etag:%226f60924276b96db1e7f68bcd08030a8a%22	http://connect.facebook.net/en_GB/all.js	C:/My%20Web%20Sites/Nehe/connect.facebook.net/en_GB/all.js	(from http://nehe.gamedev.net/)
21:33:12	9348/9348	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2026%20Jan%202019%2002:33:11%20GMT	http://nehe.gamedev.net/atom/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/atom/index.html	(from http://nehe.gamedev.net/)
21:33:12	9114/9114	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2026%20Jan%202019%2002:33:11%20GMT	http://nehe.gamedev.net/rss/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/rss/index.html	(from http://nehe.gamedev.net/)
21:33:12	5878/5878	---MC-	200	added ('OK')	image/png	etag:%225ETteA%22	http://nehe.gamedev.net/static/images/nehe.png	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/static/images/nehe.png	(from http://nehe.gamedev.net/)
21:33:13	6537/6537	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:11%20GMT	http://nehe.gamedev.net/news/how_i_made_mario_kart_7_engine_in_opengl_over_the_weekend/5660980839186432/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/how_i_made_mario_kart_7_engine_in_opengl_over_the_weekend/5660980839186432/index.html	(from http://nehe.gamedev.net/)
21:33:13	6015/6015	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:11%20GMT	http://nehe.gamedev.net/news/webgl_shaders_tutorial_in_11_minutes/5724160613416960/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/webgl_shaders_tutorial_in_11_minutes/5724160613416960/index.html	(from http://nehe.gamedev.net/)
21:33:13	14346/14346	---MC-	200	added ('OK')	image/jpeg	etag:%225ETteA%22	http://nehe.gamedev.net/static/images/nehe_news.jpg	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/static/images/nehe_news.jpg	(from http://nehe.gamedev.net/)
21:33:13	6284/6284	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:12%20GMT	http://nehe.gamedev.net/news/webgl_tutorials_site_is_up/5762637883244544/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/webgl_tutorials_site_is_up/5762637883244544/index.html	(from http://nehe.gamedev.net/)
21:33:13	6498/6498	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:12%20GMT	http://nehe.gamedev.net/news/rats_webgl_hit_a_snag/5652786310021120/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/rats_webgl_hit_a_snag/5652786310021120/index.html	(from http://nehe.gamedev.net/)
21:33:13	6316/6316	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:12%20GMT	http://nehe.gamedev.net/news/how_to_initialize_webgl/5741031244955648/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/how_to_initialize_webgl/5741031244955648/index.html	(from http://nehe.gamedev.net/)
21:33:14	8055/8055	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Jan%202019%2002:33:12%20GMT	http://nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/news/fallout_software_tutorials_updated/5730082031140864/index.html	(from http://nehe.gamedev.net/)
21:33:14	5865/5865	---MC-	200	added ('OK')	image/jpeg	etag:%225ETteA%22	http://nehe.gamedev.net/static/images/boglgp.jpg	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/static/images/boglgp.jpg	(from http://nehe.gamedev.net/)
21:33:14	1649/1649	---MC-	200	added ('OK')	application/javascript	etag:%225ETteA%22	http://nehe.gamedev.net/static/js/syntax_highlighter/shBrushJScript.js	C:/My%20Web%20Sites/Nehe/nehe.gamedev.net/static/js/syntax_highlighter/shBrushJScript.js	(from http://nehe.gamedev.net/)
